Fetching 15 files:   0%|          | 0/15 [00:00<?, ?it/s]Fetching 15 files: 100%|██████████| 15/15 [00:00<00:00, 2212.34it/s]
[load] 15.13 GB
  mbpp 50/100: 26 ok
  mbpp 60/100: 30 ok
  mbpp 70/100: 32 ok
  mbpp 80/100: 37 ok
  mbpp 90/100: 42 ok
  mbpp 100/100: 48 ok
[mbpp] 48/100 = 48%
[mem] peak 3.20 GB
Fetching 14 files:   0%|          | 0/14 [00:00<?, ?it/s]Fetching 14 files: 100%|██████████| 14/14 [00:00<00:00, 2035.43it/s]
[transformers] This model config has set a `rope_parameters['original_max_position_embeddings']` field, to be used together with `max_position_embeddings` to determine a scaling factor. Please set the `factor` field of `rope_parameters`with this ratio instead -- we recommend the use of this field over `original_max_position_embeddings`, as it is compatible with most model architectures.
[load] 2.16 GB
  mmlu 50/500: 29 ok
  mmlu 100/500: 62 ok
  mmlu 150/500: 91 ok
  mmlu 200/500: 119 ok
  mmlu 250/500: 148 ok
  mmlu 300/500: 173 ok
  mmlu 350/500: 206 ok
  mmlu 400/500: 238 ok
  mmlu 450/500: 272 ok
  mmlu 500/500: 298 ok
[mmlu] 298/500 = 60%
  lambada 100/500: 45 ok
  lambada 200/500: 81 ok
  lambada 300/500: 123 ok
  lambada 400/500: 175 ok
  lambada 500/500: 214 ok
[lambada] 214/500 = 43%
[mem] peak 2.99 GB
Fetching 12 files:   0%|          | 0/12 [00:00<?, ?it/s]Fetching 12 files: 100%|██████████| 12/12 [00:00<00:00, 2648.48it/s]
[load] 0.42 GB
  math500 10/100: 4 ok
  math500 20/100: 8 ok
  math500 30/100: 9 ok
  math500 40/100: 11 ok
  math500 50/100: 14 ok
  math500 60/100: 16 ok
  math500 70/100: 16 ok
  math500 80/100: 16 ok
  math500 90/100: 16 ok
  math500 100/100: 18 ok
[math500] 18/100 = 18%
  mbpp 10/100: 2 ok
  mbpp 20/100: 6 ok
  mbpp 30/100: 9 ok
  mbpp 40/100: 12 ok
  mbpp 50/100: 13 ok
  mbpp 60/100: 17 ok
  mbpp 70/100: 18 ok
  mbpp 80/100: 21 ok
  mbpp 90/100: 25 ok
  mbpp 100/100: 28 ok
[mbpp] 28/100 = 28%
[mem] peak 1.58 GB
Fetching 12 files:   0%|          | 0/12 [00:00<?, ?it/s]Fetching 12 files: 100%|██████████| 12/12 [00:00<00:00, 2952.00it/s]
[load] 0.42 GB
  mmlu 50/500: 22 ok
  mmlu 100/500: 48 ok
  mmlu 150/500: 68 ok
  mmlu 200/500: 93 ok
  mmlu 250/500: 110 ok
  mmlu 300/500: 124 ok
  mmlu 350/500: 144 ok
  mmlu 400/500: 164 ok
  mmlu 450/500: 186 ok
  mmlu 500/500: 213 ok
[mmlu] 213/500 = 43%
  lambada 100/500: 46 ok
  lambada 200/500: 79 ok
  lambada 300/500: 116 ok
  lambada 400/500: 162 ok
  lambada 500/500: 200 ok
[lambada] 200/500 = 40%
[mem] peak 1.22 GB
Fetching 11 files:   0%|          | 0/11 [00:00<?, ?it/s]Fetching 11 files: 100%|██████████| 11/11 [00:00<00:00, 5066.70it/s]
[load] 0.74 GB
  math500 10/100: 4 ok
  math500 20/100: 8 ok
  math500 30/100: 9 ok
  math500 40/100: 11 ok
  math500 50/100: 12 ok
  math500 60/100: 15 ok
  math500 70/100: 15 ok
  math500 80/100: 15 ok
  math500 90/100: 15 ok
  math500 100/100: 16 ok
[math500] 16/100 = 16%
  mbpp 10/100: 3 ok
  mbpp 20/100: 6 ok
  mbpp 30/100: 11 ok
  mbpp 40/100: 15 ok
  mbpp 50/100: 18 ok
  mbpp 60/100: 21 ok
  mbpp 70/100: 24 ok
